How Great Thou Art
How Great is our God
"10,000 Reasons"
Desparation Song
記念羔羊
響應

Amazing Grace
何等恩典
Here I am to worship
詩歌
Grace Alone
這樣的愛
願你平安
讚頌你的愛
讚頌父權能
尊貴全能神
Once Again
人間行傳
祝福歌
This Kingdom
神祢信實奇妙
My Redeemer is Faithful and True
求主以靈火燃亮我
三一頌 (3/4)
恩典太美麗
猶大書榮耀頌
你的信實廣大
主信實無變
"10,000 Reason "
Great is Thy faithfulness
Open the eyes of our heart
Beautiful One
主賜福您 (¾)
耶穌，來得著這地
How Great is Our God
除袮以外
袮是何等榮美
願您平安
唯有耶穌
你是配得
你讓我生命改變
燃燒再一次
Complete
滿有能力
主賜福你
神恩
這是什麼道理
Our God
真相 
被愛的一個
捉緊我
主賜福您
As We Gather
As The Deer
每當我們同心敬拜
真相
祢是配得
"Jesus, Lover of My Soul"
Sing Hallelujah to the Lord
Hosanna
Heart Of Worship
渴慕祢
三一頌
Enough
Forever
Doxology 三一頌
Rescue
藏祢懷內
祢是配得 
安穩在主裡
Jesus Messiah
I Will Follow
The Lord Bless You and Keep You 願你平安
禱告
Open the Eyes of My Heart Lord
祢是何等榮美
十架的冠冕
愛的記號
捉緊我+Because He Lives
The Blessing / 祝福歌
讚頌祢的愛
全地至高是我主
我的心，你要稱頌耶和華
心曲
Amazing Love
"三一頌
Doxology"
誰曾應許
主祢是我力量
Shout to the Lord
我們愛
直到地老天荒
神坐著為王
"三一頌
Docology"
主愛必堅固
飄流日記
My Redeemer is Faithful & True
恩典之路
One Voice
"榮耀頌
Doxology"
10000 Reasons
But For Your Grace
耶和華以勒
In Christ Alone
Blessed Be Your Name
榮耀頌 Doxology
高唱入雲
Restless
讓愛飛翔
專心仰望耶穌
和平之君
榮美真光
賜我自由
袮賜下平安
我們呼求
歷煉荊途
我願祢來
祢是王
我願你來
真實的悔改
十架前 (是祢珍惜我)
As We Worship You
愛，再不是傳說
除祢以外
All To Us
Behold the Lamb
期待耶穌
我的千古保障
愛是不保留
At The Cross
我心緊緊跟隨祢
祢成就救恩
Until The End
回家
有祢已足夠
Consuming Fire
讚頌袮的愛
十架前 (是袮珍惜我) 
聖潔歸於祢
Blessings
始終如一
奇妙的愛 + You are my King (Amazing Love)
但主愛更深廣
我們愛 (讓世界不一樣)
寶貴十架
Great is Thy Faithfulness
永恆的祢
愛可以再更多一點點
奇妙的愛
Lead me to the Cross
只因愛
陶造我一生
願祢用愛吸引我
耶和華是愛
彩紅下的約定
奉祢的名
活著為要敬拜祢
祢賜下平安 
祢的愛
請差遣我
讓我靈，頌祢名
耶穌我深愛祢
深觸我心
我要向高山舉目
Here I Am to Worship
No Other Name (除祢以外)
The Heart of Worship
主你是我力量
神你信實奇妙
Communion / 同聲讚頌
Give Us Clean Hands
真神之愛
聖潔歸於袮
平安的管道
捉緊我心
Blessed Be The Name
You are Holy (Prince of Peace)
獻上頌讚
你成就救恩
Create In Me a Clean Heart
這愛極深厚
Still
遇見耶穌
不要緊
Joy to the World
"耶穌, 來得著這地"
神是我牧者
Communion / 捉緊我心
日日夜夜
"O Come, O Come, Emmanuel"
⼩伯利恆
奇妙的愛 Amazing Love
愛喜樂生命
